itemNo,material,currency,price,quantity,action,activityType,baseUnit,businessArea,componentId,costCenter,costElement,costEstNo,costingDate,costingType,costingVersion,currencyTypeCode,errMsg,fixValue,fixedValue,itemCategory,ledger,materialCompositeKey,materialDesc,materialSpecProcTypeCosting,mixedCosting,mixingRatio,operation,parentMaterial,parentMaterialCompositeKey,parentMaterialSpecProcTypeCosting,parentPlant,plant,priceUnit,processCategory,procurementAlternative,profitCenter,purcDocNum,purcItemNo,referenceObject,selectionIdType,srcSys,supplier,totalValue,tranSelectionId,transfCostEstNo,transfCostingDate,transfCostingType,transfCostingVersion,transfValuationVariant,transferStrategy,valuationStrategy,valuationVariant,workCenter,reportType
MB001,Brake Pad Set (Front),EUR,85.50,1,Purchase,New Production,EA,Automotive,BP_SET_A,CC100,EL500,CE20240709,2024-07-09,Standard,V1.0,EUR,,,,,Parts,GL100,MB001_COMP,Brake Pad Set for MB C-Class,Direct Procure,False,0.0,Buy,MB000,MB000_COMP,,PlantA,P100,85.50,Assembly,Supplier Procure,PC50,PO12345,10,,Material,SAP,Bosch,85.50,TID_001,TCE_001,2024-07-09,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,AssyLine,GENERAL_COSTING
MB002,Brake Disc (Front),EUR,120.00,2,Purchase,OEM,EA,Automotive,BD_DISC_B,CC100,EL501,CE20240709,2024-07-09,Standard,V1.0,EUR,,,,,Parts,GL100,MB002_COMP,Brake Disc for MB E-Class,Direct Procure,False,0.0,Buy,MB000,MB000_COMP,,PlantA,P100,60.00,Machining,Supplier Procure,PC50,PO12346,20,,Material,SAP,Brembo,240.00,TID_002,TCE_002,2024-07-09,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Machining,GENERAL_COSTING
MB003,Oil Filter (C-Class),USD,25.00,1,Purchase,Maintenance,EA,Automotive,OF_C_CLASS,CC101,EL502,CE20240710,2024-07-10,Standard,V1.0,USD,,,,,Consumable,GL101,MB003_COMP,Oil Filter for Mercedes C-Class,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantB,P200,25.00,Service,Supplier Procure,PC51,PO12347,30,,Consumable,SAP,Mann-Filter,25.00,TID_003,TCE_003,2024-07-10,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,ServiceBay,GENERAL_COSTING
MB004,Air Filter (E-Class),USD,35.00,1,Purchase,Maintenance,EA,Automotive,AF_E_CLASS,CC101,EL503,CE20240710,2024-07-10,Standard,V1.0,USD,,,,,Consumable,GL101,MB004_COMP,Air Filter for Mercedes E-Class,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantB,P200,35.00,Service,Supplier Procure,PC51,PO12348,40,,Consumable,SAP,K&N,35.00,TID_004,TCE_004,2024-07-10,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,ServiceBay,GENERAL_COSTING
MB005,Spark Plug (M274 Engine),EUR,15.00,4,Purchase,Engine Parts,EA,Automotive,SP_M274,CC102,EL504,CE20240711,2024-07-11,Standard,V1.0,EUR,,,,,Parts,GL102,MB005_COMP,Spark Plug for M274 Engine,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,15.00,Engine Assy,Supplier Procure,PC52,PO12349,50,,Parts,SAP,NGK,60.00,TID_005,TCE_005,2024-07-11,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB006,Wiper Blade Set,EUR,45.00,1,Purchase,Maintenance,EA,Automotive,WB_SET_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Consumable,GL103,MB006_COMP,Wiper Blade Set (Front),Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,45.00,Exterior,Supplier Procure,PC53,PO12350,60,,Consumable,SAP,Valeo,45.00,TID_006,TCE_006,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,GENERAL_COSTING
MB007,Fuel Pump (W204),USD,210.00,1,Purchase,Fuel System,EA,Automotive,FP_W204,CC104,EL506,CE20240713,2024-07-13,Standard,V1.0,USD,,,,,Parts,GL104,MB007_COMP,Fuel Pump for W204 C-Class,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,210.00,Fuel Assy,Supplier Procure,PC54,PO12351,70,,Parts,SAP,Pierburg,210.00,TID_007,TCE_007,2024-07-13,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB008,Alternator,EUR,280.00,1,Purchase,Electrical,EA,Automotive,ALT_A,CC105,EL507,CE20240714,2024-07-14,Standard,V1.0,EUR,,,,,Parts,GL105,MB008_COMP,Alternator for Mercedes,Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantF,P600,280.00,Electrical Assy,Supplier Procure,PC55,PO12352,80,,Parts,SAP,Denso,280.00,TID_008,TCE_008,2024-07-14,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Electrical,GENERAL_COSTING
MB009,Water Pump,EUR,150.00,1,Purchase,Cooling System,EA,Automotive,WP_A,CC106,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,MB009_COMP,Water Pump for Mercedes,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,150.00,Cooling Assy,Supplier Procure,PC56,PO12353,90,,Parts,SAP,Bosch,150.00,TID_009,TCE_009,2024-07-15,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Cooling,GENERAL_COSTING
MB010,Shock Absorber (Rear),USD,110.00,2,Purchase,Suspension,EA,Automotive,SA_R_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,USD,,,,,Parts,GL107,MB010_COMP,Rear Shock Absorber,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,110.00,Suspension Assy,Supplier Procure,PC57,PO12354,100,,Parts,SAP,Sachs,220.00,TID_010,TCE_010,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
PU003,Front Bumper (AMG Line),EUR,800.00,1,Manufacture,Body Assembly,EA,Body Prod,FB_AMG,CC201,EL510,CE20240717,2024-07-17,Production,V1.0,EUR,,,,,Assembly,GL201,PU003_COMP,"Used in Mercedes C63 AMG (W205), E63 AMG (W213)",Internal Procure,False,0.0,Produce,MB_BODY,MB_BODY_COMP,,PlantA,P100,800.00,Final Assy,Internal Mfg,PC61,,,,,SAP,800.00,TID_011,TCE_011,2024-07-17,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,BodyShop,PARTS_USAGE
PU004,Navigation Unit (COMAND),EUR,1200.00,1,Manufacture,Infotainment,EA,Electronics,NAV_COMAND,CC202,EL511,CE20240718,2024-07-18,Production,V1.0,EUR,,,,,Assembly,GL202,PU004_COMP,"Used in Mercedes S-Class (W222), GLE (V167)",Internal Procure,False,0.0,Produce,MB_INFO,MB_INFO_COMP,,PlantB,P200,1200.00,Final Assy,Internal Mfg,PC62,,,,,SAP,1200.00,TID_012,TCE_012,2024-07-18,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,Electronics,PARTS_USAGE
SP003,Battery (AGM),USD,180.00,1,Purchase,Electrical,EA,Automotive,BATT_AGM,CC108,EL512,CE20240719,2024-07-19,Standard,V1.0,USD,,,,,Parts,GL108,SP003_COMP,"Similar to Battery (Lead-Acid), Battery (Lithium-Ion)",Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantC,P300,180.00,Electrical Assy,Supplier Procure,PC58,PO12355,110,,Parts,SAP,Varta,180.00,TID_013,TCE_013,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Electrical,SIMILAR_PARTS
SP004,Tire (Summer),EUR,160.00,4,Purchase,Wheels,EA,Automotive,TIRE_SUM,CC109,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL109,SP004_COMP,"Similar to Tire (All-Season), Tire (Winter)",Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,40.00,Wheel Assy,Supplier Procure,PC59,PO12356,120,,Parts,SAP,Michelin,640.00,TID_014,TCE_014,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,SIMILAR_PARTS
CC003,Fuel Injector (Supplier C),EUR,90.00,6,Purchase,Fuel System,EA,Automotive,FI_001C,CC301,EL514,CE20240721,2024-07-21,Standard,V1.0,EUR,,,,,Parts,GL110,CC003_COMP,Fuel Injector from Supplier C,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,90.00,Fuel Assy,Supplier Quote,PC71,PO12357,130,,Parts,SAP,SupplierC,540.00,TID_015,TCE_015,2024-07-21,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,FuelLine,COST_COMPARISON
CC004,Fuel Injector (Supplier D),EUR,95.00,6,Purchase,Fuel System,EA,Automotive,FI_001D,CC301,EL514,CE20240721,2024-07-21,Standard,V1.0,EUR,,,,,Parts,GL110,CC004_COMP,Fuel Injector from Supplier D,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,95.00,Fuel Assy,Supplier Quote,PC71,PO12358,140,,Parts,SAP,SupplierD,570.00,TID_016,TCE_016,2024-07-21,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,FuelLine,COST_COMPARISON
MB011,Suspension Arm (Front Left),EUR,180.00,1,Purchase,Suspension,EA,Automotive,SA_FL_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB011_COMP,Front Left Suspension Arm,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,180.00,Suspension Assy,Supplier Procure,PC57,PO12359,150,,Parts,SAP,Lemforder,180.00,TID_017,TCE_017,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB012,Exhaust Manifold,USD,320.00,1,Purchase,Exhaust System,EA,Automotive,EM_A,CC108,EL510,CE20240717,2024-07-17,Standard,V1.0,USD,,,,,Parts,GL108,MB012_COMP,Exhaust Manifold,Direct Procure,False,0.0,Buy,MB_EXH,MB_EXH_COMP,,PlantI,P900,320.00,Exhaust Assy,Supplier Procure,PC58,PO12360,160,,Parts,SAP,Eberspacher,320.00,TID_018,TCE_018,2024-07-17,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB013,Radiator,EUR,250.00,1,Purchase,Cooling System,EA,Automotive,RAD_A,CC109,EL511,CE20240718,2024-07-18,Standard,V1.0,EUR,,,,,Parts,GL109,MB013_COMP,Radiator Assembly,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,250.00,Cooling Assy,Supplier Procure,PC59,PO12361,170,,Parts,SAP,Behr,250.00,TID_019,TCE_019,2024-07-18,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Cooling,GENERAL_COSTING
